title,url
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Mary White Rowlandson,https://www.gutenberg.org/files/851/851-h/851-h.htm
Crime and Punishment by Fyodor Dostoyevsky,https://www.gutenberg.org/files/2554/2554-h/2554-h.htm
"Giant brains; or, Machines that think by Edmund Callis Berkeley",https://www.gutenberg.org/files/68991/68991-h/68991-h.htm
Metamorphosis by Franz Kafka,https://www.gutenberg.org/files/5200/5200-h/5200-h.htm
Adventures of Huckleberry Finn by Mark Twain,https://www.gutenberg.org/files/76/76-h/76-h.htm
Ulysses by James Joyce,https://www.gutenberg.org/files/4300/4300-h/4300-h.htm
"Lightning, Thunder and Lightning Conductors by Gerald Molloy",https://www.gutenberg.org/files/68994/68994-h/68994-h.htm
"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass",https://www.gutenberg.org/files/23/23-h/23-h.htm
War and Peace by graf Leo Tolstoy,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm
The Prophet by Kahlil Gibran,https://www.gutenberg.org/files/58585/58585-h/58585-h.htm
The Legend of Sleepy Hollow by Washington Irving,https://www.gutenberg.org/files/41/41-h/41-h.htm
Treasure Island by Robert Louis Stevenson,https://www.gutenberg.org/files/120/120-h/120-h.htm
The Odyssey by Homer,https://www.gutenberg.org/files/1727/1727-h/1727-h.htm
The Souls of Black Folk by W. E. B.  Du Bois,https://www.gutenberg.org/files/408/408-h/408-h.htm
The Republic by Plato,https://www.gutenberg.org/files/1497/1497-h/1497-h.htm
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau",https://www.gutenberg.org/files/205/205-h/205-h.htm
Tractatus Logico-Philosophicus by Ludwig Wittgenstein,https://www.gutenberg.org/files/5740/5740-h/5740-h.htm
Little Women by Louisa May Alcott,https://www.gutenberg.org/files/514/514-h/514-h.htm
"The Count of Monte Cristo, Illustrated by Alexandre Dumas",https://www.gutenberg.org/files/1184/1184-h/1184-h.htm
Heart of Darkness by Joseph Conrad,https://www.gutenberg.org/files/219/219-h/219-h.htm
Anthem by Ayn Rand,https://www.gutenberg.org/files/1250/1250-h/1250-h.htm
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,https://www.gutenberg.org/files/844/844-h/844-h.htm
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African by Equiano",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Oliver Twist by Charles Dickens,https://www.gutenberg.org/files/730/730-h/730-h.htm
Wuthering Heights by Emily Brontë,https://www.gutenberg.org/files/768/768-h/768-h.htm
The Brothers Karamazov by Fyodor Dostoyevsky,https://www.gutenberg.org/files/28054/28054-h/28054-h.htm
Dubliners by James Joyce,https://www.gutenberg.org/files/2814/2814-h/2814-h.htm
Autobiography of Benjamin Franklin by Benjamin Franklin,https://www.gutenberg.org/files/20203/20203-h/20203-h.htm
Andersen's Fairy Tales by H. C.  Andersen,https://www.gutenberg.org/files/1597/1597-h/1597-h.htm
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,https://www.gutenberg.org/files/2148/2148-h/2148-h.htm
Second Treatise of Government by John Locke,https://www.gutenberg.org/files/7370/7370-h/7370-h.htm
The King in Yellow by Robert W.  Chambers,https://www.gutenberg.org/files/8492/8492-h/8492-h.htm
The Romance of Lust: A classic Victorian erotic novel by Anonymous,https://www.gutenberg.org/files/30254/30254-h/30254-h.htm
The Time Machine by H. G.  Wells,https://www.gutenberg.org/files/35/35-h/35-h.htm
Anne of Green Gables by L. M.  Montgomery,https://www.gutenberg.org/files/45/45-h/45-h.htm
Winnie-the-Pooh by A. A.  Milne,https://www.gutenberg.org/files/67098/67098-h/67098-h.htm
Angel: A sketch in Indian ink by B. M.  Croker,https://www.gutenberg.org/files/68996/68996-h/68996-h.htm
"The Slang Dictionary: Etymological, Historical and Andecdotal by John Camden Hotten",https://www.gutenberg.org/files/42108/42108-h/42108-h.htm
The Hound of the Baskervilles by Arthur Conan Doyle,https://www.gutenberg.org/files/2852/2852-h/2852-h.htm
The War of the Worlds by H. G.  Wells,https://www.gutenberg.org/files/36/36-h/36-h.htm
Leviathan by Thomas Hobbes,https://www.gutenberg.org/files/3207/3207-h/3207-h.htm
The Kama Sutra of Vatsyayana by Vatsyayana,https://www.gutenberg.org/files/27827/27827-h/27827-h.htm
A Study in Scarlet by Arthur Conan Doyle,https://www.gutenberg.org/files/244/244-h/244-h.htm
Don Quixote by Miguel de Cervantes Saavedra,https://www.gutenberg.org/files/996/996-h/996-h.htm
Persuasion by Jane Austen,https://www.gutenberg.org/files/105/105-h/105-h.htm
"The Awakening, and Selected Short Stories by Kate Chopin",https://www.gutenberg.org/files/160/160-h/160-h.htm
The Complete Works of William Shakespeare by William Shakespeare,https://www.gutenberg.org/files/100/100-h/100-h.htm
Emma by Jane Austen,https://www.gutenberg.org/files/158/158-h/158-h.htm
The Problems of Philosophy by Bertrand Russell,https://www.gutenberg.org/files/5827/5827-h/5827-h.htm
Anna Karenina by graf Leo Tolstoy,https://www.gutenberg.org/files/1399/1399-h/1399-h.htm
The Jungle Book by Rudyard Kipling,https://www.gutenberg.org/files/236/236-h/236-h.htm
Peter Pan by J. M.  Barrie,https://www.gutenberg.org/files/16/16-h/16-h.htm
The Call of the Wild by Jack London,https://www.gutenberg.org/files/215/215-h/215-h.htm
The Wonderful Wizard of Oz by L. Frank  Baum,https://www.gutenberg.org/files/55/55-h/55-h.htm
Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche,https://www.gutenberg.org/files/1998/1998-h/1998-h.htm
Les Misérables by Victor Hugo,https://www.gutenberg.org/files/135/135-h/135-h.htm
The Tragical History of Doctor Faustus by Christopher Marlowe,https://www.gutenberg.org/files/779/779-h/779-h.htm
