title,url
The Kama Sutra of Vatsyayana by Vatsyayana (6943),https://www.gutenberg.org/files/27827/27827-h/27827-h.htm
The Problems of Philosophy by Bertrand Russell (6934),https://www.gutenberg.org/files/5827/5827-h/5827-h.htm
Autobiography of Benjamin Franklin by Benjamin Franklin (6774),https://www.gutenberg.org/files/20203/20203-h/20203-h.htm
Emma by Jane Austen (6756),https://www.gutenberg.org/files/158/158-h/158-h.htm
A Study in Scarlet by Arthur Conan Doyle (6646),https://www.gutenberg.org/files/244/244-h/244-h.htm
The War of the Worlds by H. G.  Wells (6635),https://www.gutenberg.org/files/36/36-h/36-h.htm
Oliver Twist by Charles Dickens (6521),https://www.gutenberg.org/files/730/730-h/730-h.htm
Beyond Good and Evil by Friedrich Wilhelm Nietzsche (6506),https://www.gutenberg.org/files/4363/4363-h/4363-h.htm
The King in Yellow by Robert W.  Chambers (6415),https://www.gutenberg.org/files/8492/8492-h/8492-h.htm
Les Misérables by Victor Hugo (6339),https://www.gutenberg.org/files/135/135-h/135-h.htm
The Jungle Book by Rudyard Kipling (6196),https://www.gutenberg.org/files/236/236-h/236-h.htm
Sense and Sensibility by Jane Austen (6124),https://www.gutenberg.org/files/161/161-h/161-h.htm
The Hound of the Baskervilles by Arthur Conan Doyle (5661),https://www.gutenberg.org/files/2852/2852-h/2852-h.htm
Candide by Voltaire (5622),https://www.gutenberg.org/files/19942/19942-h/19942-h.htm
"The Awakening, and Selected Short Stories by Kate Chopin (5617)",https://www.gutenberg.org/files/160/160-h/160-h.htm
Moby Multiple Language Lists of Common Words by Grady Ward (5604),https://www.gutenberg.org/files/3206/3206-h/3206-h.htm
Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche (5582),https://www.gutenberg.org/files/1998/1998-h/1998-h.htm
David Copperfield by Charles Dickens (5564),https://www.gutenberg.org/files/766/766-h/766-h.htm
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe (5544),https://www.gutenberg.org/files/2148/2148-h/2148-h.htm
The Call of the Wild by Jack London (5529),https://www.gutenberg.org/files/215/215-h/215-h.htm
Meditations by Emperor of Rome Marcus Aurelius (5524),https://www.gutenberg.org/files/2680/2680-h/2680-h.htm
Uncle Tom's Cabin by Harriet Beecher Stowe (5358),https://www.gutenberg.org/files/203/203-h/203-h.htm
Andersen's Fairy Tales by H. C.  Andersen (5331),https://www.gutenberg.org/files/1597/1597-h/1597-h.htm
Essays of Michel de Montaigne — Complete by Michel de Montaigne (5262),https://www.gutenberg.org/files/3600/3600-h/3600-h.htm
The King James Version of the Bible (5234),https://www.gutenberg.org/files/10/10-h/10-h.htm
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine (5136),https://www.gutenberg.org/files/3296/3296-h/3296-h.htm
Noli Me Tangere by José Rizal (5100),https://www.gutenberg.org/files/20228/20228-h/20228-h.htm
A Pickle for the Knowing Ones by Timothy Dexter (5073),https://www.gutenberg.org/files/43453/43453-h/43453-h.htm
Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift (4989),https://www.gutenberg.org/files/829/829-h/829-h.htm
Pygmalion by Bernard Shaw (4988),https://www.gutenberg.org/files/3825/3825-h/3825-h.htm
Six Months at the Cape by R. M.  Ballantyne (4920),https://www.gutenberg.org/files/21704/21704-h/21704-h.htm
The Elements of Style by William Strunk (4884),https://www.gutenberg.org/files/37134/37134-h/37134-h.htm
"The Philippine Islands, 1493-1898 — Volume 07 of 55 (4862)",https://www.gutenberg.org/files/13701/13701-h/13701-h.htm
"The Slang Dictionary: Etymological, Historical and Andecdotal by John Camden Hotten (4855)",https://www.gutenberg.org/files/42108/42108-h/42108-h.htm
Common Sense by Thomas Paine (4819),https://www.gutenberg.org/files/147/147-h/147-h.htm
Siddhartha by Hermann Hesse (4761),https://www.gutenberg.org/files/2500/2500-h/2500-h.htm
Carmilla by Joseph Sheridan Le Fanu (4751),https://www.gutenberg.org/files/10007/10007-h/10007-h.htm
The Life and Adventures of Robinson Crusoe by Daniel Defoe (4725),https://www.gutenberg.org/files/521/521-h/521-h.htm
The Jungle by Upton Sinclair (4525),https://www.gutenberg.org/files/140/140-h/140-h.htm
The Art of War by active 6th century B.C. Sunzi (4488),https://www.gutenberg.org/files/132/132-h/132-h.htm
