title,url
"Beatrice d'Este, Duchess of Milan, 1475-1497",https://www.gutenberg.org/ebooks/25622
"An Apology for the Life of Mr. Colley Cibber, Volume 2 (of 2)
Written by Himself. A New Edition with Notes and Supplement",https://www.gutenberg.org/ebooks/44065
Some Personal Recollections of Dr. Janeway,https://www.gutenberg.org/ebooks/24699
"Female Warriors, Vol. 2 (of 2)
Memorials of Female Valour and Heroism, from the Mythological Ages to the Present Era.",https://www.gutenberg.org/ebooks/43647
"Noble Deeds of American Women
With Biographical Sketches of Some of the More Prominent",https://www.gutenberg.org/ebooks/39079
Some Famous Women,https://www.gutenberg.org/ebooks/49766
John Hus: A brief story of the life of a martyr,https://www.gutenberg.org/ebooks/26129
My Father as I Recall Him,https://www.gutenberg.org/ebooks/27234
"Stories of Achievement, Volume III, Orators and Reformers",https://www.gutenberg.org/ebooks/18597
"A Treasury of Heroes and Heroines
A Record of High Endeavour and Strange Adventure from 500 B.C. to 1920 A.D.",https://www.gutenberg.org/ebooks/25652
"Fairlop and Its Founder; or, Facts and Fun for the Forest Frolickers.",https://www.gutenberg.org/ebooks/51154
Some Eminent Women of Our Times: Short Biographical Sketches,https://www.gutenberg.org/ebooks/49765
"The letters of Richard Ford, 1797-1858",https://www.gutenberg.org/ebooks/60992
"The Last Laird of MacNab
An Episode in the Settlement of MacNab Township, Upper Canada",https://www.gutenberg.org/ebooks/35841
Lives of Celebrated Women,https://www.gutenberg.org/ebooks/33273
Curiosities of Human Nature,https://www.gutenberg.org/ebooks/39333
"Obed Hussey, Who, of All Inventors, Made Bread Cheap",https://www.gutenberg.org/ebooks/19547
Famous Men of the Middle Ages,https://www.gutenberg.org/ebooks/3725
An Astronomer's Wife: The Biography of Angeline Hall,https://www.gutenberg.org/ebooks/58553
"Ancient, Curious, and Famous Wills",https://www.gutenberg.org/ebooks/56942
"Reminiscences of the Military Life and Sufferings of Col. Timothy Bigelow, Commander of the Fifteenth Regiment of the Massachusetts Line in the Continental Army, during the War of the Revolution",https://www.gutenberg.org/ebooks/24634
Great Men as Prophets of a New Era,https://www.gutenberg.org/ebooks/60038
"Historic Girlhoods, Part One",https://www.gutenberg.org/ebooks/43538
"Great Men and Famous Women. Vol. 3
A series of pen and pencil sketches of the lives of more than 200 of the most prominent personages in History",https://www.gutenberg.org/ebooks/26423
"Great Men and Famous Women. Vol. 1
A series of pen and pencil sketches of the lives of more than 200 of the most prominent personages in History",https://www.gutenberg.org/ebooks/26421
"Great Men and Famous Women. Vol. 6
A series of pen and pencil sketches of the lives of more than 200 of the most prominent personages in History",https://www.gutenberg.org/ebooks/28456
"Great Men and Famous Women. Vol. 4
A series of pen and pencil sketches of the lives of more than 200 of the most prominent personages in History",https://www.gutenberg.org/ebooks/26424
"Biographia Scoticana (Scots Worthies)
A Brief Historical Account of the Lives, Characters, and Memorable Transactions of the Most Eminent Scots Worthies",https://www.gutenberg.org/ebooks/28272
"Little Journeys to the Homes of the Great - Volume 01
Little Journeys to the Homes of Good Men and Great",https://www.gutenberg.org/ebooks/12933
"Little Journeys to the Homes of the Great - Volume 13
Little Journeys to the Homes of Great Lovers",https://www.gutenberg.org/ebooks/23458
Memoir of a Brother,https://www.gutenberg.org/ebooks/58795
